Pacman: 17 || Ghost: 13 || Pacman rate: 46.0 || Ghost rate: 54.0
Pacman: 18 || Ghost: 13 || Pacman rate: 40.0 || Ghost rate: 60.0
Pacman: 19 || Ghost: 13 || Pacman rate: 38.0 || Ghost rate: 62.0
Pacman: 21 || Ghost: 13 || Pacman rate: 38.0 || Ghost rate: 62.0
Pacman: 23 || Ghost: 13 || Pacman rate: 32.0 || Ghost rate: 68.0
Pacman: 24 || Ghost: 13 || Pacman rate: 20.0 || Ghost rate: 80.0
Pacman: 25 || Ghost: 13 || Pacman rate: 34.0 || Ghost rate: 66.0
---
Pacman: 1 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 2 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 5 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 6 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 7 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 9 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 10 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 11 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 12 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 15 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 16 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 17 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 18 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 19 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 21 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 24 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
---
Pacman: 13 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 2 || Pacman rate: 54.0 || Ghost rate: 46.0
